t,MV,MVP,MVI,MVD,SP,PV,DV,Man,MVMan
0.000000000000000000e+00,5.500000000000000000e+01,7.996242397394760815e+01,-1.097115732169133793e+02,8.474914924296577112e+01,5.000000000000000000e+01,2.563599999999999923e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+00,5.500000000000000000e+01,7.985740026818639592e+01,-1.055862661171683072e+02,8.072886584898191131e+01,5.000000000000000000e+01,2.566799999999999926e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.000000000000000000e+00,5.500000000000000000e+01,7.996242397394760815e+01,-1.020790594297254188e+02,7.711663545577781065e+01,5.000000000000000000e+01,2.563599999999999923e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.000000000000000000e+00,5.500000000000000000e+01,7.996242397394760815e+01,-9.852212902413214124e+01,7.355970505018453309e+01,5.000000000000000000e+01,2.563599999999999923e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.000000000000000000e+00,5.500000000000000000e+01,7.964735285666395725e+01,-9.448025552215173661e+01,6.983290266548777936e+01,5.000000000000000000e+01,2.573199999999999932e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.000000000000000000e+00,5.500000000000000000e+01,7.943402345433648293e+01,-9.081985109550429058e+01,6.638582764116780766e+01,5.000000000000000000e+01,2.579700000000000060e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.000000000000000000e+00,5.499999999999999289e+01,8.006744767970883458e+01,-8.906263545463971809e+01,6.399518777493087640e+01,5.000000000000000000e+01,2.560399999999999920e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.000000000000000000e+00,5.500000000000000711e+01,7.901064664048656994e+01,-8.393405466749049992e+01,5.992340802700393709e+01,5.000000000000000000e+01,2.592599999999999838e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
8.000000000000000000e+00,5.500000000000000711e+01,7.922397604281404426e+01,-8.160957445683555989e+01,5.738559841402152273e+01,5.000000000000000000e+01,2.586100000000000065e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
9.000000000000000000e+00,5.500000000000000711e+01,7.985740026818639592e+01,-8.026748570533979432e+01,5.541008543715340551e+01,5.000000000000000000e+01,2.566799999999999926e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+01,5.500000000000000000e+01,7.858726982663665694e+01,-7.509545531190781276e+01,5.150818548527115581e+01,5.000000000000000000e+01,2.605499999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.100000000000000000e+01,5.500000000000000000e+01,7.901064664048656994e+01,-7.359178784135528417e+01,4.958114120086871424e+01,5.000000000000000000e+01,2.592599999999999838e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.200000000000000000e+01,5.500000000000000711e+01,7.816389301278674395e+01,-6.956070976492617319e+01,4.639681675213943635e+01,5.000000000000000000e+01,2.618400000000000105e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.300000000000000000e+01,5.499999999999999289e+01,7.922397604281404426e+01,-6.960432630204363136e+01,4.538035025922957999e+01,5.000000000000000000e+01,2.586100000000000065e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.400000000000000000e+01,5.500000000000000711e+01,7.953904716009769515e+01,-6.816020451036777672e+01,4.362115735027008867e+01,5.000000000000000000e+01,2.576500000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.500000000000000000e+01,5.500000000000000000e+01,7.848224612087544472e+01,-6.397135621898490143e+01,4.048911009810945671e+01,5.000000000000000000e+01,2.608699999999999974e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.600000000000000000e+01,5.500000000000000000e+01,7.869557552320291904e+01,-6.254326424941557150e+01,3.884768872621265245e+01,5.000000000000000000e+01,2.602199999999999847e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.700000000000000000e+01,5.500000000000000000e+01,7.784882189550309306e+01,-5.900725631237276758e+01,3.615843441686967452e+01,5.000000000000000000e+01,2.628000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.800000000000000000e+01,5.500000000000000000e+01,7.911567034624779637e+01,-5.994901662727696845e+01,3.583334628102917208e+01,5.000000000000000000e+01,2.589399999999999835e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.900000000000000000e+01,5.500000000000000000e+01,7.922397604281404426e+01,-5.851933291189627084e+01,3.429535686908222658e+01,5.000000000000000000e+01,2.586100000000000065e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.000000000000000000e+01,5.500000000000000000e+01,7.869557552320291904e+01,-5.584906041775602858e+01,3.215348489455310954e+01,5.000000000000000000e+01,2.602199999999999847e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.100000000000000000e+01,5.500000000000000000e+01,7.763549249317561873e+01,-5.218238700524022278e+01,2.954689451206460404e+01,5.000000000000000000e+01,2.634499999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.200000000000000000e+01,5.500000000000000000e+01,7.880059922896414548e+01,-5.321952430812352475e+01,2.941892507915937927e+01,5.000000000000000000e+01,2.598999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.300000000000000000e+01,5.500000000000000000e+01,7.890562293472535771e+01,-5.207893913307829337e+01,2.817331619835293566e+01,5.000000000000000000e+01,2.595799999999999841e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.400000000000000000e+01,5.500000000000000000e+01,7.753046878741440651e+01,-4.794684408197461778e+01,2.541637529456020772e+01,5.000000000000000000e+01,2.637699999999999889e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.500000000000000000e+01,5.500000000000000000e+01,7.816389301278674395e+01,-4.807930490184874373e+01,2.491541188906200333e+01,5.000000000000000000e+01,2.618400000000000105e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.600000000000000000e+01,5.500000000000000000e+01,7.784882189550309306e+01,-4.628110248822397210e+01,2.343228059272087904e+01,5.000000000000000000e+01,2.628000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.700000000000000000e+01,5.500000000000000000e+01,7.742544508165318007e+01,-4.432821326608990375e+01,2.190276818443672724e+01,5.000000000000000000e+01,2.640899999999999892e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.800000000000000000e+01,5.500000000000000000e+01,7.827219870935300605e+01,-4.506216499227679151e+01,2.178996628292378190e+01,5.000000000000000000e+01,2.615099999999999980e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.900000000000000000e+01,5.500000000000000000e+01,7.869557552320291904e+01,-4.492922170926395609e+01,2.123364618606103349e+01,5.000000000000000000e+01,2.602199999999999847e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.000000000000000000e+01,5.500000000000000000e+01,7.689704456204205485e+01,-4.024511435377110047e+01,1.834806979172904917e+01,5.000000000000000000e+01,2.657000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.100000000000000000e+01,5.500000000000000000e+01,7.657869145395335408e+01,-3.874306380924163307e+01,1.716437235528827543e+01,5.000000000000000000e+01,2.666700000000000159e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.200000000000000000e+01,5.500000000000000000e+01,7.721211567932570574e+01,-3.925614030287107425e+01,1.704402462354536851e+01,5.000000000000000000e+01,2.647400000000000020e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.300000000000000000e+01,5.500000000000000000e+01,7.774051619893684517e+01,-3.955843335967973218e+01,1.681791716074288701e+01,5.000000000000000000e+01,2.631299999999999883e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.400000000000000000e+01,5.500000000000000000e+01,7.626033834586466753e+01,-3.573376077327121436e+01,1.447342242740655038e+01,5.000000000000000000e+01,2.676399999999999935e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.500000000000000000e+01,5.500000000000000000e+01,7.605029093434222887e+01,-3.463351940860347611e+01,1.358322847426125080e+01,5.000000000000000000e+01,2.682799999999999940e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.600000000000000000e+01,5.500000000000000000e+01,7.657869145395335408e+01,-3.509543834870168411e+01,1.351674689474833180e+01,5.000000000000000000e+01,2.666700000000000159e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.700000000000000000e+01,5.500000000000000000e+01,7.636864404243091542e+01,-3.403932271994407444e+01,1.267067867751315902e+01,5.000000000000000000e+01,2.673100000000000165e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.800000000000000000e+01,5.500000000000000000e+01,7.678873886547579275e+01,-3.432023733038109725e+01,1.253149846490530450e+01,5.000000000000000000e+01,2.660300000000000153e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.900000000000000000e+01,5.500000000000000000e+01,7.552189041473110365e+01,-3.113270083904097163e+01,1.061081042430986798e+01,5.000000000000000000e+01,2.698900000000000077e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.000000000000000000e+01,5.500000000000000000e+01,7.520353730664241709e+01,-2.998752391765754766e+01,9.783986611015128787e+00,5.000000000000000000e+01,2.708599999999999852e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.100000000000000000e+01,5.500000000000000000e+01,7.457011308127005123e+01,-2.823148036741870470e+01,8.661367286148653477e+00,5.000000000000000000e+01,2.727899999999999991e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.200000000000000000e+01,5.500000000000000000e+01,7.530856101240362932e+01,-2.935308412569979453e+01,9.044523113296166983e+00,5.000000000000000000e+01,2.705399999999999849e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.300000000000000000e+01,5.500000000000000000e+01,7.552189041473110365e+01,-2.937534339197686961e+01,8.853452977245764188e+00,5.000000000000000000e+01,2.698900000000000077e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.400000000000000000e+01,5.500000000000000000e+01,7.573193782625352810e+01,-2.939965513518342277e+01,8.667717308929896447e+00,5.000000000000000000e+01,2.692500000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.500000000000000000e+01,5.500000000000000000e+01,7.478016049279248989e+01,-2.703933490124790495e+01,7.259174408455415062e+00,5.000000000000000000e+01,2.721499999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.600000000000000000e+01,5.500000000000000000e+01,7.393340686509267812e+01,-2.496031670941750491e+01,6.026909844324828569e+00,5.000000000000000000e+01,2.747299999999999898e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.700000000000000000e+01,5.500000000000000000e+01,7.361833574780901301e+01,-2.403332822832435056e+01,5.414992480515337547e+00,5.000000000000000000e+01,2.756899999999999906e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.800000000000000000e+01,5.500000000000000000e+01,7.361833574780901301e+01,-2.378356692473312961e+01,5.165231176924117484e+00,5.000000000000000000e+01,2.756899999999999906e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.900000000000000000e+01,5.500000000000000000e+01,7.382838315933145168e+01,-2.397799433995522733e+01,5.149611180623776541e+00,5.000000000000000000e+01,2.750499999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.000000000000000000e+01,5.500000000000000000e+01,7.382838315933145168e+01,-2.374047349277242347e+01,4.912090333440971790e+00,5.000000000000000000e+01,2.750499999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.100000000000000000e+01,5.500000000000000000e+01,7.181980478664814882e+01,-1.937651343371497603e+01,2.556708647066828988e+00,5.000000000000000000e+01,2.811700000000000088e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.200000000000000000e+01,5.500000000000000000e+01,7.287660582587041347e+01,-2.143545220997737744e+01,3.558846384106963079e+00,5.000000000000000000e+01,2.779500000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.300000000000000000e+01,5.500000000000000000e+01,7.287660582587041347e+01,-2.127130385420886327e+01,3.394698028338449802e+00,5.000000000000000000e+01,2.779500000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.400000000000000000e+01,5.500000000000000000e+01,7.234820530625928825e+01,-2.002629443507056806e+01,2.678089128811280251e+00,5.000000000000000000e+01,2.795599999999999952e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.500000000000000000e+01,5.500000000000000711e+01,7.129140426703702360e+01,-1.772590566211023955e+01,1.434501395073217278e+00,5.000000000000000000e+01,2.827799999999999869e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.600000000000000000e+01,5.500000000000000000e+01,7.065469805085963628e+01,-1.634821361283907493e+01,6.935155619794383108e-01,5.000000000000000000e+01,2.847200000000000131e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.700000000000000000e+01,5.500000000000000711e+01,7.023132123700972329e+01,-1.544412798859882585e+01,2.128067515891026162e-01,5.000000000000000000e+01,2.860099999999999909e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.800000000000000000e+01,5.500000000000000000e+01,7.076300374742589838e+01,-1.652950517915344975e+01,7.665014317275509192e-01,5.000000000000000000e+01,2.843900000000000006e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.900000000000000000e+01,5.500000000000000000e+01,7.054967434509840984e+01,-1.605472187175388044e+01,5.050475266554718123e-01,5.000000000000000000e+01,2.850400000000000134e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.000000000000000000e+01,5.500000000000000000e+01,6.885616708969877209e+01,-1.254303548958700176e+01,-1.313131600111770769e+00,5.000000000000000000e+01,2.901999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.100000000000000000e+01,5.500000000000000000e+01,6.991625011972607240e+01,-1.478722736223917167e+01,-1.290227574868998417e-01,5.000000000000000000e+01,2.869699999999999918e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.200000000000000000e+01,5.500000000000000000e+01,7.012629753124851106e+01,-1.522584713210616592e+01,9.954960085765442168e-02,5.000000000000000000e+01,2.863299999999999912e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.300000000000000000e+01,5.499999999999999289e+01,6.843607226665389476e+01,-1.173962439927296586e+01,-1.696447867380929786e+00,5.000000000000000000e+01,2.914799999999999969e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.400000000000000000e+01,5.500000000000000000e+01,6.885616708969877209e+01,-1.268320885969125378e+01,-1.172958230007518976e+00,5.000000000000000000e+01,2.901999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.500000000000000000e+01,5.500000000000000711e+01,6.949287330587615941e+01,-1.404883748281966760e+01,-4.440358230564911413e-01,5.000000000000000000e+01,2.882600000000000051e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.600000000000000000e+01,5.500000000000000000e+01,6.758931863895408299e+01,-1.014825793478618010e+01,-2.441060704167903772e+00,5.000000000000000000e+01,2.940599999999999881e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.700000000000000000e+01,5.500000000000000000e+01,6.695261242277668146e+01,-8.949322448065768043e+00,-3.003289974710912968e+00,5.000000000000000000e+01,2.960000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.800000000000000000e+01,5.500000000000000000e+01,6.695261242277668146e+01,-9.087846300470980410e+00,-2.864766122305700602e+00,5.000000000000000000e+01,2.960000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.900000000000000000e+01,5.500000000000000000e+01,6.737598923662659445e+01,-1.009207876190844644e+01,-2.283910474718148009e+00,5.000000000000000000e+01,2.947100000000000009e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.000000000000000000e+01,5.500000000000000000e+01,6.758931863895408299e+01,-1.063685109736708334e+01,-1.952467541586999200e+00,5.000000000000000000e+01,2.940599999999999881e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.100000000000000000e+01,5.500000000000000000e+01,6.621416449164313178e+01,-7.894278754867153580e+00,-3.319885736775978202e+00,5.000000000000000000e+01,2.982499999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.200000000000000000e+01,5.500000000000000000e+01,6.526238715818209357e+01,-6.086875145359641692e+00,-4.175512012822451879e+00,5.000000000000000000e+01,3.011499999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.300000000000000000e+01,5.500000000000000000e+01,6.589581138355443102e+01,-7.584233216007611134e+00,-3.311578167546819440e+00,5.000000000000000000e+01,2.992200000000000060e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.400000000000000000e+01,5.500000000000000000e+01,6.652923560892678267e+01,-9.041743171595607365e+00,-2.487492437331175754e+00,5.000000000000000000e+01,2.972899999999999920e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.500000000000000000e+01,5.500000000000000000e+01,6.420230412815479326e+01,-4.363318200225897669e+00,-4.838985927928895592e+00,5.000000000000000000e+01,3.043799999999999883e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.600000000000000000e+01,5.500000000000000000e+01,6.579078767779320458e+01,-7.858568949785656343e+00,-2.932218728007548236e+00,5.000000000000000000e+01,2.995400000000000063e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.700000000000000000e+01,5.500000000000000000e+01,6.504905775585460503e+01,-6.465953293196816887e+00,-3.583104462657788147e+00,5.000000000000000000e+01,3.017999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.800000000000000000e+01,5.500000000000000000e+01,6.441563353048225338e+01,-5.326453921698083960e+00,-4.089179608784169417e+00,5.000000000000000000e+01,3.037300000000000111e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.900000000000000000e+01,5.500000000000000000e+01,6.378220930510991593e+01,-4.210296778035604426e+00,-4.571912527074311505e+00,5.000000000000000000e+01,3.056599999999999895e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
8.000000000000000000e+01,5.500000000000000000e+01,6.304047938317130217e+01,-2.893310415895246734e+00,-5.147168967276055440e+00,5.000000000000000000e+01,3.079200000000000159e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
