tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.649999999999977089e-03
2.000000000000000000e+00,1.000000000000000000e+00,2.425000000000032598e-03
3.000000000000000000e+00,1.000000000000000000e+00,7.249999999999978684e-03
4.000000000000000000e+00,1.000000000000000000e+00,8.049999999999890576e-03
5.000000000000000000e+00,1.000000000000000000e+00,-1.600000000000001378e-03
6.000000000000000000e+00,1.000000000000000000e+00,1.047499999999992361e-02
7.000000000000000000e+00,1.000000000000000000e+00,8.049999999999890576e-03
8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00,1.600000000000001378e-03
1.000000000000000000e+01,1.000000000000000000e+00,7.249999999999978684e-03
1.100000000000000000e+01,1.000000000000000000e+00,1.449999999999995737e-02
1.200000000000000000e+01,1.000000000000000000e+00,9.675000000000011716e-03
1.300000000000000000e+01,1.000000000000000000e+00,1.207499999999992434e-02
1.400000000000000000e+01,1.000000000000000000e+00,1.207499999999992434e-02
1.500000000000000000e+01,1.000000000000000000e+00,7.999999999999118927e-04
1.600000000000000000e+01,1.000000000000000000e+00,9.675000000000011716e-03
1.700000000000000000e+01,1.000000000000000000e+00,1.207499999999992434e-02
1.800000000000000000e+01,1.000000000000000000e+00,8.049999999999890576e-03
1.900000000000000000e+01,1.000000000000000000e+00,8.849999999999979411e-03
2.000000000000000000e+01,1.000000000000000000e+00,1.207499999999992434e-02
2.100000000000000000e+01,1.000000000000000000e+00,1.449999999999995737e-02
2.200000000000000000e+01,1.000000000000000000e+00,4.025000000000033759e-03
2.300000000000000000e+01,1.000000000000000000e+00,1.370000000000004547e-02
2.400000000000000000e+01,1.000000000000000000e+00,1.612499999999989983e-02
2.500000000000000000e+01,1.000000000000000000e+00,1.127500000000001244e-02
2.600000000000000000e+01,1.000000000000000000e+00,1.127500000000001244e-02
2.700000000000000000e+01,1.000000000000000000e+00,1.449999999999995737e-02
2.800000000000000000e+01,1.000000000000000000e+00,2.095000000000002416e-02
2.900000000000000000e+01,1.000000000000000000e+00,1.852499999999999286e-02
3.000000000000000000e+01,1.000000000000000000e+00,1.530000000000004620e-02
3.100000000000000000e+01,1.000000000000000000e+00,2.174999999999993605e-02
3.200000000000000000e+01,1.000000000000000000e+00,2.417499999999996735e-02
3.300000000000000000e+01,1.000000000000000000e+00,1.612499999999989983e-02
3.400000000000000000e+01,1.000000000000000000e+00,2.014999999999993532e-02
3.500000000000000000e+01,1.000000000000000000e+00,2.657499999999988344e-02
3.600000000000000000e+01,1.000000000000000000e+00,2.255000000000002489e-02
3.700000000000000000e+01,1.000000000000000000e+00,1.289999999999995664e-02
3.800000000000000000e+01,1.000000000000000000e+00,1.852499999999999286e-02
