tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,-1.600000000000001378e-03
6.000000000000000000e+00,1.000000000000000000e+00,-2.425000000000032598e-03
7.000000000000000000e+00,1.000000000000000000e+00,-3.225000000000122300e-03
8.000000000000000000e+00,1.000000000000000000e+00,-8.000000000000894850e-04
9.000000000000000000e+00,1.000000000000000000e+00,-8.000000000000894850e-04
1.000000000000000000e+01,1.000000000000000000e+00,-8.000000000000894850e-04
1.100000000000000000e+01,1.000000000000000000e+00,-3.225000000000122300e-03
1.200000000000000000e+01,1.000000000000000000e+00,-3.225000000000122300e-03
1.300000000000000000e+01,1.000000000000000000e+00,-3.225000000000122300e-03
1.400000000000000000e+01,1.000000000000000000e+00,-2.425000000000032598e-03
1.500000000000000000e+01,1.000000000000000000e+00,-7.249999999999978684e-03
1.600000000000000000e+01,1.000000000000000000e+00,-3.225000000000122300e-03
1.700000000000000000e+01,1.000000000000000000e+00,-8.000000000000894850e-04
1.800000000000000000e+01,1.000000000000000000e+00,-8.000000000000894850e-04
1.900000000000000000e+01,1.000000000000000000e+00,-8.000000000000894850e-04
2.000000000000000000e+01,1.000000000000000000e+00,-1.600000000000001378e-03
2.100000000000000000e+01,1.000000000000000000e+00,-3.225000000000122300e-03
2.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000000e+01,1.000000000000000000e+00,2.424999999999855223e-03
2.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+01,1.000000000000000000e+00,1.600000000000001378e-03
3.100000000000000000e+01,1.000000000000000000e+00,2.424999999999855223e-03
3.200000000000000000e+01,1.000000000000000000e+00,4.024999999999856817e-03
3.300000000000000000e+01,1.000000000000000000e+00,1.600000000000001378e-03
3.400000000000000000e+01,1.000000000000000000e+00,4.824999999999945652e-03
3.500000000000000000e+01,1.000000000000000000e+00,7.249999999999978684e-03
3.600000000000000000e+01,1.000000000000000000e+00,8.049999999999890576e-03
3.700000000000000000e+01,1.000000000000000000e+00,8.849999999999979411e-03
3.800000000000000000e+01,1.000000000000000000e+00,8.849999999999979411e-03
3.900000000000000000e+01,1.000000000000000000e+00,1.369999999999986853e-02
4.000000000000000000e+01,1.000000000000000000e+00,1.449999999999995737e-02
4.100000000000000000e+01,1.000000000000000000e+00,1.609999999999995809e-02
4.200000000000000000e+01,1.000000000000000000e+00,1.609999999999995809e-02
4.300000000000000000e+01,1.000000000000000000e+00,1.609999999999995809e-02
4.400000000000000000e+01,1.000000000000000000e+00,1.609999999999995809e-02
4.500000000000000000e+01,1.000000000000000000e+00,1.609999999999995809e-02
4.600000000000000000e+01,1.000000000000000000e+00,1.852499999999999286e-02
4.700000000000000000e+01,1.000000000000000000e+00,2.014999999999993532e-02
4.800000000000000000e+01,1.000000000000000000e+00,2.255000000000002489e-02
4.900000000000000000e+01,1.000000000000000000e+00,2.417499999999996735e-02
5.000000000000000000e+01,1.000000000000000000e+00,2.417499999999996735e-02
5.100000000000000000e+01,1.000000000000000000e+00,2.417499999999996735e-02
5.200000000000000000e+01,1.000000000000000000e+00,2.417499999999996735e-02
5.300000000000000000e+01,1.000000000000000000e+00,2.980000000000000357e-02
5.400000000000000000e+01,1.000000000000000000e+00,3.142499999999994603e-02
5.500000000000000000e+01,1.000000000000000000e+00,3.222499999999985792e-02
5.600000000000000000e+01,1.000000000000000000e+00,3.302499999999995023e-02
5.700000000000000000e+01,1.000000000000000000e+00,3.787500000000001282e-02
5.800000000000000000e+01,1.000000000000000000e+00,3.867499999999992472e-02
5.900000000000000000e+01,1.000000000000000000e+00,4.027499999999992891e-02
6.000000000000000000e+01,1.000000000000000000e+00,4.027499999999992891e-02
6.100000000000000000e+01,1.000000000000000000e+00,4.189999999999986791e-02
6.200000000000000000e+01,1.000000000000000000e+00,4.592499999999990340e-02
6.300000000000000000e+01,1.000000000000000000e+00,4.752499999999990760e-02
6.400000000000000000e+01,1.000000000000000000e+00,4.834999999999993470e-02
6.500000000000000000e+01,1.000000000000000000e+00,4.834999999999993470e-02
6.600000000000000000e+01,1.000000000000000000e+00,4.915000000000002700e-02
6.700000000000000000e+01,1.000000000000000000e+00,5.317499999999988208e-02
6.800000000000000000e+01,1.000000000000000000e+00,5.640000000000000568e-02
6.900000000000000000e+01,1.000000000000000000e+00,5.640000000000000568e-02
7.000000000000000000e+01,1.000000000000000000e+00,5.640000000000000568e-02
7.100000000000000000e+01,1.000000000000000000e+00,5.962499999999994887e-02
7.200000000000000000e+01,1.000000000000000000e+00,6.444999999999989626e-02
7.300000000000000000e+01,1.000000000000000000e+00,6.444999999999989626e-02
7.400000000000000000e+01,1.000000000000000000e+00,6.444999999999989626e-02
7.500000000000000000e+01,1.000000000000000000e+00,6.444999999999989626e-02
7.600000000000000000e+01,1.000000000000000000e+00,6.607500000000002260e-02
7.700000000000000000e+01,1.000000000000000000e+00,7.009999999999987075e-02
7.800000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
7.900000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
8.000000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
8.100000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
8.200000000000000000e+01,1.000000000000000000e+00,7.894999999999985363e-02
8.300000000000000000e+01,1.000000000000000000e+00,8.057499999999997997e-02
8.400000000000000000e+01,1.000000000000000000e+00,8.057499999999997997e-02
8.500000000000000000e+01,1.000000000000000000e+00,8.057499999999997997e-02
8.600000000000000000e+01,1.000000000000000000e+00,8.297499999999988218e-02
8.700000000000000000e+01,1.000000000000000000e+00,8.782499999999995866e-02
8.800000000000000000e+01,1.000000000000000000e+00,8.862499999999987055e-02
8.900000000000000000e+01,1.000000000000000000e+00,8.862499999999987055e-02
9.000000000000000000e+01,1.000000000000000000e+00,8.862499999999987055e-02
9.100000000000000000e+01,1.000000000000000000e+00,9.104999999999989491e-02
9.200000000000000000e+01,1.000000000000000000e+00,9.424999999999990330e-02
9.300000000000000000e+01,1.000000000000000000e+00,9.667499999999992766e-02
9.400000000000000000e+01,1.000000000000000000e+00,9.667499999999992766e-02
9.500000000000000000e+01,1.000000000000000000e+00,9.667499999999992766e-02
9.600000000000000000e+01,1.000000000000000000e+00,9.989999999999987779e-02
9.700000000000000000e+01,1.000000000000000000e+00,1.015250000000000041e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.047249999999999986e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.047249999999999986e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.095749999999998947e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.119749999999999773e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.128000000000000114e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.128000000000000114e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.128000000000000114e-01
