tm,DVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.224999999999944491e-03
2.000000000000000000e+00,1.000000000000000000e+00,3.224999999999944491e-03
3.000000000000000000e+00,1.000000000000000000e+00,7.999999999999118927e-04
4.000000000000000000e+00,1.000000000000000000e+00,-1.600000000000001378e-03
5.000000000000000000e+00,1.000000000000000000e+00,7.999999999999118927e-04
6.000000000000000000e+00,1.000000000000000000e+00,-2.425000000000032598e-03
7.000000000000000000e+00,1.000000000000000000e+00,-2.425000000000032598e-03
8.000000000000000000e+00,1.000000000000000000e+00,-2.425000000000032598e-03
9.000000000000000000e+00,1.000000000000000000e+00,-8.000000000000894850e-04
1.000000000000000000e+01,1.000000000000000000e+00,-2.425000000000032598e-03
1.100000000000000000e+01,1.000000000000000000e+00,-2.425000000000032598e-03
1.200000000000000000e+01,1.000000000000000000e+00,-8.000000000000894850e-04
1.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00,-2.425000000000032598e-03
1.500000000000000000e+01,1.000000000000000000e+00,-2.425000000000032598e-03
1.600000000000000000e+01,1.000000000000000000e+00,-2.425000000000032598e-03
1.700000000000000000e+01,1.000000000000000000e+00,-2.425000000000032598e-03
1.800000000000000000e+01,1.000000000000000000e+00,-2.425000000000032598e-03
1.900000000000000000e+01,1.000000000000000000e+00,-2.425000000000032598e-03
2.000000000000000000e+01,1.000000000000000000e+00,-2.425000000000032598e-03
2.100000000000000000e+01,1.000000000000000000e+00,-2.425000000000032598e-03
2.200000000000000000e+01,1.000000000000000000e+00,-3.225000000000122300e-03
2.300000000000000000e+01,1.000000000000000000e+00,-2.425000000000032598e-03
2.400000000000000000e+01,1.000000000000000000e+00,-2.425000000000032598e-03
2.500000000000000000e+01,1.000000000000000000e+00,-2.425000000000032598e-03
2.600000000000000000e+01,1.000000000000000000e+00,-2.425000000000032598e-03
2.700000000000000000e+01,1.000000000000000000e+00,-2.425000000000032598e-03
2.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+00,-8.000000000000894850e-04
3.000000000000000000e+01,1.000000000000000000e+00,-1.600000000000001378e-03
3.100000000000000000e+01,1.000000000000000000e+00,-2.425000000000032598e-03
3.200000000000000000e+01,1.000000000000000000e+00,-2.425000000000032598e-03
3.300000000000000000e+01,1.000000000000000000e+00,-1.600000000000001378e-03
3.400000000000000000e+01,1.000000000000000000e+00,-8.000000000000894850e-04
3.500000000000000000e+01,1.000000000000000000e+00,2.425000000000032598e-03
3.600000000000000000e+01,1.000000000000000000e+00,3.224999999999944491e-03
3.700000000000000000e+01,1.000000000000000000e+00,5.649999999999977089e-03
3.800000000000000000e+01,1.000000000000000000e+00,5.649999999999977089e-03
3.900000000000000000e+01,1.000000000000000000e+00,5.649999999999977089e-03
4.000000000000000000e+01,1.000000000000000000e+00,1.047499999999992361e-02
4.100000000000000000e+01,1.000000000000000000e+00,1.369999999999986853e-02
4.200000000000000000e+01,1.000000000000000000e+00,1.369999999999986853e-02
4.300000000000000000e+01,1.000000000000000000e+00,1.369999999999986853e-02
4.400000000000000000e+01,1.000000000000000000e+00,1.449999999999995737e-02
4.500000000000000000e+01,1.000000000000000000e+00,1.772499999999990056e-02
4.600000000000000000e+01,1.000000000000000000e+00,1.935000000000002343e-02
4.700000000000000000e+01,1.000000000000000000e+00,2.174999999999993605e-02
4.800000000000000000e+01,1.000000000000000000e+00,2.174999999999993605e-02
4.900000000000000000e+01,1.000000000000000000e+00,2.174999999999993605e-02
5.000000000000000000e+01,1.000000000000000000e+00,2.174999999999993605e-02
5.100000000000000000e+01,1.000000000000000000e+00,2.174999999999993605e-02
5.200000000000000000e+01,1.000000000000000000e+00,2.174999999999993605e-02
5.300000000000000000e+01,1.000000000000000000e+00,2.417499999999996735e-02
5.400000000000000000e+01,1.000000000000000000e+00,2.739999999999991401e-02
5.500000000000000000e+01,1.000000000000000000e+00,2.982499999999994530e-02
5.600000000000000000e+01,1.000000000000000000e+00,2.982499999999994530e-02
5.700000000000000000e+01,1.000000000000000000e+00,2.982499999999994530e-02
5.800000000000000000e+01,1.000000000000000000e+00,2.982499999999994530e-02
5.900000000000000000e+01,1.000000000000000000e+00,3.062500000000003414e-02
6.000000000000000000e+01,1.000000000000000000e+00,2.982499999999994530e-02
6.100000000000000000e+01,1.000000000000000000e+00,3.384999999999997733e-02
6.200000000000000000e+01,1.000000000000000000e+00,3.787500000000001282e-02
6.300000000000000000e+01,1.000000000000000000e+00,3.787500000000001282e-02
6.400000000000000000e+01,1.000000000000000000e+00,3.787500000000001282e-02
6.500000000000000000e+01,1.000000000000000000e+00,3.787500000000001282e-02
6.600000000000000000e+01,1.000000000000000000e+00,4.189999999999986791e-02
6.700000000000000000e+01,1.000000000000000000e+00,4.269999999999996021e-02
