t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man,MVMan
0.000000000000000000e+00,5.499999999999999289e+01,5.955172315741583589e+01,-6.766834247335796704e+01,6.311661931594212405e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.185500000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+00,5.500000000000000000e+01,5.944341746084957379e+01,-6.453405449593695664e+01,6.009063703508738286e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.188800000000000168e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.000000000000000000e+00,5.500000000000000000e+01,5.955172315741583589e+01,-6.198552664880076435e+01,5.743380349138492846e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.185500000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.000000000000000000e+00,5.500000000000000000e+01,5.933839375508835445e+01,-5.889701870847788001e+01,5.455862495338952556e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.192000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.000000000000000000e+00,5.500000000000000000e+01,5.944341746084957379e+01,-5.659688913238812802e+01,5.215347167153855423e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.188800000000000168e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.000000000000000000e+00,5.500000000000000000e+01,5.933839375508835445e+01,-5.397502621118491106e+01,4.963663245609655661e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.192000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.000000000000000000e+00,5.500000000000000000e+01,5.944341746084957379e+01,-5.190191879012373022e+01,4.745850132927415643e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.188800000000000168e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.000000000000000000e+00,5.500000000000000000e+01,5.986679427469948678e+01,-5.058503909399083653e+01,4.571824481929134976e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.175900000000000034e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
8.000000000000000000e+00,5.500000000000000000e+01,5.923337004932713512e+01,-4.717156255451386926e+01,4.293819250518673414e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.195200000000000173e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
9.000000000000000000e+00,5.500000000000000000e+01,5.944341746084957379e+01,-4.562374857313299259e+01,4.118033111228341880e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.188800000000000168e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+01,5.500000000000000000e+01,5.933839375508835445e+01,-4.350801117295883813e+01,3.916961741787048368e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.192000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.100000000000000000e+01,5.500000000000000000e+01,6.008012367702696821e+01,-4.322921177807682369e+01,3.814908810104985548e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.169399999999999906e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.200000000000000000e+01,5.500000000000000000e+01,6.018514738278818754e+01,-4.168595625681096806e+01,3.650080887402278051e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.166199999999999903e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.300000000000000000e+01,5.500000000000000000e+01,5.965674686317705522e+01,-3.891395941683940407e+01,3.425721255366234885e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.182300000000000040e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.400000000000000000e+01,5.500000000000000000e+01,5.965674686317705522e+01,-3.733387854034852182e+01,3.267713167717146661e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.182300000000000040e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.500000000000000000e+01,5.500000000000000000e+01,5.944341746084957379e+01,-3.538724820136065574e+01,3.094383074051108196e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.188800000000000168e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.600000000000000000e+01,5.500000000000000000e+01,5.986679427469948678e+01,-3.483209175220751064e+01,2.996529747750802386e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.175900000000000034e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.700000000000000000e+01,5.500000000000000000e+01,5.944341746084957379e+01,-3.257787342954389942e+01,2.813445596869432208e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.188800000000000168e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
