t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man,MVMan
0.000000000000000000e+00,5.500000000000000000e+01,1.255698066527348544e+02,-7.056980665273485442e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,2.347700000000000031e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+00,5.500000000000000000e+01,1.252668067045474345e+02,-7.026680670454743449e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,2.354100000000000037e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.000000000000000000e+00,5.500000000000000000e+01,1.251153067304537245e+02,-7.011530673045372453e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,2.357300000000000040e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.000000000000000000e+00,5.500000000000000000e+01,1.255698066527348544e+02,-7.056980665273485442e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,2.347700000000000031e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.000000000000000000e+00,5.500000000000000000e+01,1.249638067563600146e+02,-6.996380675636001456e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,2.360500000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.000000000000000000e+00,5.500000000000000000e+01,1.248075724080758562e+02,-6.980757240807585617e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,2.363800000000000168e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.000000000000000000e+00,5.500000000000000000e+01,1.249638067563600146e+02,-6.996380675636001456e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,2.360500000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.000000000000000000e+00,5.500000000000000000e+01,1.251153067304537245e+02,-7.011530673045372453e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,2.357300000000000040e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
8.000000000000000000e+00,5.500000000000000000e+01,1.254183066786411445e+02,-7.041830667864114446e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,2.350900000000000034e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
9.000000000000000000e+00,5.500000000000000000e+01,1.245045724598884362e+02,-6.950457245988843624e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,2.370200000000000173e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+01,5.500000000000000000e+01,1.246560724339821462e+02,-6.965607243398214621e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,2.367000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
