t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man,MVMan
0.000000000000000000e+00,5.500000000000000000e+01,8.662814729897993971e+01,-1.234420446174860047e+02,9.181389731850606495e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.360500000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+00,5.500000000000000000e+01,8.609646478856377882e+01,-1.181120244922540365e+02,8.701555970369025772e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.376699999999999946e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.000000000000000000e+00,5.500000000000000000e+01,8.599144108280255239e+01,-1.138821813967194458e+02,8.289074031391689346e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.379899999999999949e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.000000000000000000e+00,5.500000000000000000e+01,8.599144108280255239e+01,-1.100589259756011273e+02,7.906748489279857495e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.379899999999999949e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.000000000000000000e+00,5.500000000000000000e+01,8.620477048513002671e+01,-1.068514436903807194e+02,7.564667320525069272e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.373400000000000176e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.000000000000000000e+00,5.500000000000000000e+01,8.599144108280255239e+01,-1.029228847069141750e+02,7.193144362411162263e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.379899999999999949e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.000000000000000000e+00,5.500000000000000000e+01,8.567308797471385162e+01,-9.894935274346352116e+01,6.827626476874966954e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.389600000000000080e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.000000000000000000e+00,5.500000000000000000e+01,8.578139367128011372e+01,-9.602327071488969068e+01,6.524187704360957696e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.386299999999999955e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
8.000000000000000000e+00,5.500000000000000000e+01,8.567308797471385162e+01,-9.279095727530238946e+01,6.211786930058853784e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.389600000000000080e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
9.000000000000000000e+00,5.499999999999999289e+01,8.567308797471385162e+01,-8.992583048728744188e+01,5.925274251257358316e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.389600000000000080e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+01,5.500000000000000711e+01,8.546304056319141296e+01,-8.676018618833242613e+01,5.629714562514102028e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.396000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.100000000000000000e+01,5.500000000000000000e+01,8.535801685743020073e+01,-8.394720030397965616e+01,5.358918344654945543e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.399200000000000088e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.200000000000000000e+01,5.500000000000000000e+01,8.514468745510274061e+01,-8.103602175380208905e+01,5.089133429869934844e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.405699999999999861e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.300000000000000000e+01,5.499999999999999289e+01,8.482961633781907551e+01,-7.803970498150363255e+01,4.821008864368454994e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.415299999999999869e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.400000000000000000e+01,5.499999999999999289e+01,8.482961633781907551e+01,-7.581606115757924158e+01,4.598644481976015896e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.415299999999999869e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
