t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man,MVMan
0.000000000000000000e+00,5.500000000000000000e+01,7.541686670896987721e+01,-1.003483517054446139e+02,7.993148499647473670e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.702100000000000080e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+00,5.500000000000000000e+01,7.499348989511997843e+01,-9.578949119257934797e+01,7.579600129745936954e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.714999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.000000000000000000e+00,5.500000000000000000e+01,7.520353730664241709e+01,-9.272614248300840245e+01,7.252260517636598536e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.708599999999999852e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.000000000000000000e+00,5.500000000000000000e+01,7.499348989511997843e+01,-8.894843857190970482e+01,6.895494867678972639e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.714999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.000000000000000000e+00,5.500000000000000000e+01,7.530856101240362932e+01,-8.641696117381407305e+01,6.610840016141044373e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.705399999999999849e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.000000000000000000e+00,5.500000000000000000e+01,7.530856101240362932e+01,-8.336777500004627939e+01,6.305921398764265007e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.705399999999999849e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.000000000000000000e+00,5.500000000000000711e+01,7.488518419855371633e+01,-7.958713170851112295e+01,5.970194750995741373e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.718299999999999983e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.000000000000000000e+00,5.500000000000000000e+01,7.488518419855371633e+01,-7.683343698212389938e+01,5.694825278357018306e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.718299999999999983e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
8.000000000000000000e+00,5.500000000000000000e+01,7.552189041473110365e+01,-7.551828082461121028e+01,5.499639040988010663e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.698900000000000077e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
9.000000000000000000e+00,5.500000000000000711e+01,7.509851360088119065e+01,-7.210952749130854045e+01,5.201101389042735690e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.711799999999999855e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+01,5.499999999999999289e+01,7.541686670896987721e+01,-7.036633318588269503e+01,4.994946647691281072e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.702100000000000080e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.100000000000000000e+01,5.499999999999999289e+01,7.499348989511997843e+01,-6.719036434954091419e+01,4.719687445442092866e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.714999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.200000000000000000e+01,5.500000000000000000e+01,7.457011308127005123e+01,-6.414135616444026766e+01,4.457124308317021644e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.727899999999999991e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.300000000000000000e+01,5.500000000000000000e+01,7.520353730664241709e+01,-6.339031718884557876e+01,4.318677988220316166e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.708599999999999852e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.400000000000000000e+01,5.500000000000000000e+01,7.520353730664241709e+01,-6.139836863488200436e+01,4.119483132823958726e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.708599999999999852e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.500000000000000000e+01,5.500000000000000000e+01,7.478016049279248989e+01,-5.862619889799710649e+01,3.884603840520461659e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.721499999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.600000000000000000e+01,5.500000000000000000e+01,7.435678367894257690e+01,-5.596236496849034125e+01,3.660558128954776436e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.734400000000000119e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.700000000000000000e+01,5.500000000000000000e+01,7.457011308127005123e+01,-5.471339701825263546e+01,3.514328393698258424e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.727899999999999991e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.800000000000000000e+01,5.500000000000000000e+01,7.467513678703127766e+01,-5.330878131395028419e+01,3.363364452691900652e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.724699999999999989e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.900000000000000000e+01,5.500000000000000000e+01,7.488518419855371633e+01,-5.219013063071641767e+01,3.230494643216270134e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.718299999999999983e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.000000000000000000e+01,5.500000000000000000e+01,7.467513678703127766e+01,-5.026742742580209722e+01,3.059229063877081956e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.724699999999999989e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.100000000000000000e+01,5.500000000000000000e+01,7.446180738470380334e+01,-4.841695836818352916e+01,2.895515098347972227e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.731200000000000117e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
