t,MV,PV,DV
0.000000000000000000e+00,1.000000000000000000e+01,4.310300000000000153e+01,5.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+01,4.326400000000000290e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+01,4.313499999999999801e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+01,4.348899999999999721e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+01,4.355400000000000205e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+01,4.281300000000000239e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+01,4.313499999999999801e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+01,4.345700000000000074e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+01,4.329599999999999937e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+01,4.329599999999999937e+01,5.000000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+01,4.377900000000000347e+01,5.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+01,4.364999999999999858e+01,5.000000000000000000e+01
1.200000000000000000e+01,1.000000000000000000e+01,4.268399999999999750e+01,5.000000000000000000e+01
1.300000000000000000e+01,1.000000000000000000e+01,4.281300000000000239e+01,5.000000000000000000e+01
1.400000000000000000e+01,1.000000000000000000e+01,4.352100000000000080e+01,5.000000000000000000e+01
1.500000000000000000e+01,1.000000000000000000e+01,4.326400000000000290e+01,5.000000000000000000e+01
1.600000000000000000e+01,1.000000000000000000e+01,4.294100000000000250e+01,5.000000000000000000e+01
1.700000000000000000e+01,1.000000000000000000e+01,4.329599999999999937e+01,5.000000000000000000e+01
1.800000000000000000e+01,1.000000000000000000e+01,4.319899999999999807e+01,5.000000000000000000e+01
1.900000000000000000e+01,1.000000000000000000e+01,4.339300000000000068e+01,5.000000000000000000e+01
2.000000000000000000e+01,1.000000000000000000e+01,4.252199999999999847e+01,5.000000000000000000e+01
2.100000000000000000e+01,1.000000000000000000e+01,4.319899999999999807e+01,5.000000000000000000e+01
2.200000000000000000e+01,1.000000000000000000e+01,4.300600000000000023e+01,5.000000000000000000e+01
2.300000000000000000e+01,1.000000000000000000e+01,4.284499999999999886e+01,5.000000000000000000e+01
2.400000000000000000e+01,1.000000000000000000e+01,4.345700000000000074e+01,5.000000000000000000e+01
2.500000000000000000e+01,1.000000000000000000e+01,4.345700000000000074e+01,5.000000000000000000e+01
2.600000000000000000e+01,1.000000000000000000e+01,4.252199999999999847e+01,5.000000000000000000e+01
2.700000000000000000e+01,1.000000000000000000e+01,4.294100000000000250e+01,5.000000000000000000e+01
2.800000000000000000e+01,1.000000000000000000e+01,4.294100000000000250e+01,5.000000000000000000e+01
2.900000000000000000e+01,1.000000000000000000e+01,4.313499999999999801e+01,5.000000000000000000e+01
3.000000000000000000e+01,1.000000000000000000e+01,4.249000000000000199e+01,5.000000000000000000e+01
3.100000000000000000e+01,1.000000000000000000e+01,4.326400000000000290e+01,5.000000000000000000e+01
3.200000000000000000e+01,1.000000000000000000e+01,4.329599999999999937e+01,5.000000000000000000e+01
3.300000000000000000e+01,1.000000000000000000e+01,4.297399999999999665e+01,5.000000000000000000e+01
3.400000000000000000e+01,1.000000000000000000e+01,4.313499999999999801e+01,5.000000000000000000e+01
3.500000000000000000e+01,1.000000000000000000e+01,4.332800000000000296e+01,5.000000000000000000e+01
3.600000000000000000e+01,1.000000000000000000e+01,4.284499999999999886e+01,5.000000000000000000e+01
3.700000000000000000e+01,1.000000000000000000e+01,4.348899999999999721e+01,5.000000000000000000e+01
3.800000000000000000e+01,1.000000000000000000e+01,4.294100000000000250e+01,5.000000000000000000e+01
3.900000000000000000e+01,1.000000000000000000e+01,4.278000000000000114e+01,5.000000000000000000e+01
4.000000000000000000e+01,1.000000000000000000e+01,4.332800000000000296e+01,5.000000000000000000e+01
4.100000000000000000e+01,1.000000000000000000e+01,4.316700000000000159e+01,5.000000000000000000e+01
4.200000000000000000e+01,1.000000000000000000e+01,4.281300000000000239e+01,5.000000000000000000e+01
4.300000000000000000e+01,1.000000000000000000e+01,4.284499999999999886e+01,5.000000000000000000e+01
4.400000000000000000e+01,1.000000000000000000e+01,4.303799999999999670e+01,5.000000000000000000e+01
4.500000000000000000e+01,1.000000000000000000e+01,4.319899999999999807e+01,5.000000000000000000e+01
