t,MV,PV,DV
0.000000000000000000e+00,3.000000000000000000e+01,4.339300000000000068e+01,5.000000000000000000e+01
1.000000000000000000e+00,3.000000000000000000e+01,4.335999999999999943e+01,5.000000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+01,4.307000000000000028e+01,5.000000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+01,4.339300000000000068e+01,5.000000000000000000e+01
4.000000000000000000e+00,3.000000000000000000e+01,4.313499999999999801e+01,5.000000000000000000e+01
5.000000000000000000e+00,3.000000000000000000e+01,4.329599999999999937e+01,5.000000000000000000e+01
6.000000000000000000e+00,3.000000000000000000e+01,4.335999999999999943e+01,5.000000000000000000e+01
7.000000000000000000e+00,3.000000000000000000e+01,4.313499999999999801e+01,5.000000000000000000e+01
8.000000000000000000e+00,3.000000000000000000e+01,4.332800000000000296e+01,5.000000000000000000e+01
9.000000000000000000e+00,3.000000000000000000e+01,4.332800000000000296e+01,5.000000000000000000e+01
1.000000000000000000e+01,3.000000000000000000e+01,4.339300000000000068e+01,5.000000000000000000e+01
1.100000000000000000e+01,3.000000000000000000e+01,4.335999999999999943e+01,5.000000000000000000e+01
1.200000000000000000e+01,3.000000000000000000e+01,4.358599999999999852e+01,5.000000000000000000e+01
1.300000000000000000e+01,3.000000000000000000e+01,4.323100000000000165e+01,5.000000000000000000e+01
1.400000000000000000e+01,3.000000000000000000e+01,4.352100000000000080e+01,5.000000000000000000e+01
1.500000000000000000e+01,3.000000000000000000e+01,4.345700000000000074e+01,5.000000000000000000e+01
1.600000000000000000e+01,3.000000000000000000e+01,4.316700000000000159e+01,5.000000000000000000e+01
1.700000000000000000e+01,3.000000000000000000e+01,4.307000000000000028e+01,5.000000000000000000e+01
1.800000000000000000e+01,3.000000000000000000e+01,4.332800000000000296e+01,5.000000000000000000e+01
1.900000000000000000e+01,3.000000000000000000e+01,4.294100000000000250e+01,5.000000000000000000e+01
2.000000000000000000e+01,3.000000000000000000e+01,4.335999999999999943e+01,5.000000000000000000e+01
2.100000000000000000e+01,3.000000000000000000e+01,4.335999999999999943e+01,5.000000000000000000e+01
2.200000000000000000e+01,3.000000000000000000e+01,4.323100000000000165e+01,5.000000000000000000e+01
2.300000000000000000e+01,3.000000000000000000e+01,4.313499999999999801e+01,5.000000000000000000e+01
2.400000000000000000e+01,3.000000000000000000e+01,4.348899999999999721e+01,5.000000000000000000e+01
2.500000000000000000e+01,3.000000000000000000e+01,4.339300000000000068e+01,5.000000000000000000e+01
2.600000000000000000e+01,3.000000000000000000e+01,4.342499999999999716e+01,5.000000000000000000e+01
2.700000000000000000e+01,3.000000000000000000e+01,4.348899999999999721e+01,5.000000000000000000e+01
2.800000000000000000e+01,3.000000000000000000e+01,4.323100000000000165e+01,5.000000000000000000e+01
2.900000000000000000e+01,3.000000000000000000e+01,4.316700000000000159e+01,5.000000000000000000e+01
3.000000000000000000e+01,3.000000000000000000e+01,4.339300000000000068e+01,5.000000000000000000e+01
3.100000000000000000e+01,3.000000000000000000e+01,4.329599999999999937e+01,5.000000000000000000e+01
3.200000000000000000e+01,3.000000000000000000e+01,4.294100000000000250e+01,5.000000000000000000e+01
3.300000000000000000e+01,3.000000000000000000e+01,4.335999999999999943e+01,5.000000000000000000e+01
