t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man,MVMan
0.000000000000000000e+00,5.500000000000000000e+01,5.405110656817203107e+01,-5.633783037716905540e+01,5.728672380899702432e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.353099999999999881e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+00,5.500000000000000000e+01,5.383777716584456385e+01,-5.325610634528876375e+01,5.441832917944419989e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.359599999999999653e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.000000000000000000e+00,5.500000000000000000e+01,5.394608286241079753e+01,-5.096920822515471627e+01,5.202312536274391874e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.356300000000000239e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.000000000000000000e+00,5.500000000000000000e+01,5.405110656817203107e+01,-4.878602612134557859e+01,4.973491955317354751e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.353099999999999881e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.000000000000000000e+00,5.500000000000000000e+01,5.383777716584456385e+01,-4.605262177452248551e+01,4.721484460867792166e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.359599999999999653e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.000000000000000000e+00,5.500000000000000000e+01,5.415613027393323620e+01,-4.453064614970682555e+01,4.537451587577358936e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.349900000000000233e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.000000000000000000e+00,5.500000000000000000e+01,5.383777716584456385e+01,-4.178202685560336960e+01,4.294424968975880574e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.359599999999999653e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.000000000000000000e+00,5.500000000000000000e+01,5.394608286241079753e+01,-4.002435958134122274e+01,4.107827671893042520e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.356300000000000239e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
8.000000000000000000e+00,5.500000000000000000e+01,5.405110656817203107e+01,-3.834599806125842036e+01,3.929489149308638929e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.353099999999999881e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
9.000000000000000000e+00,5.500000000000000000e+01,5.383777716584456385e+01,-3.609412993580568951e+01,3.725635276996112566e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.359599999999999653e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
