t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man,MVMan
0.000000000000000000e+00,5.500000000000000000e+01,5.743483908816627803e+01,-6.330785303299886380e+01,6.087301394483258576e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.250000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+00,5.500000000000000000e+01,5.743483908816627803e+01,-6.050014399718853042e+01,5.806530490902225239e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.250000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.000000000000000000e+00,5.500000000000000000e+01,5.743483908816627803e+01,-5.782193783167988954e+01,5.538709874351361151e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.250000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.000000000000000000e+00,5.500000000000000000e+01,5.732981538240507291e+01,-5.505092698169740117e+01,5.272111159929232826e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.253199999999999648e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.000000000000000000e+00,5.500000000000000000e+01,5.743483908816627803e+01,-5.283555093616874387e+01,5.040071184800246584e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.250000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.000000000000000000e+00,5.500000000000000000e+01,5.732981538240507291e+01,-5.029453237070269012e+01,4.796471698829761721e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.253199999999999648e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.000000000000000000e+00,5.500000000000000000e+01,5.743483908816627803e+01,-4.829854043747167935e+01,4.586370134930540132e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.250000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.000000000000000000e+00,5.500000000000000000e+01,5.732981538240507291e+01,-4.596678710379294586e+01,4.363697172138787295e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.253199999999999648e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
8.000000000000000000e+00,5.500000000000000000e+01,5.722479167664383937e+01,-4.373773952577587920e+01,4.151294784913203983e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.256400000000000006e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
9.000000000000000000e+00,5.500000000000000000e+01,5.743483908816627803e+01,-4.225566357903004899e+01,3.982082449086377096e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.250000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+01,5.500000000000000000e+01,5.732981538240507291e+01,-4.020263211006976434e+01,3.787281672766469143e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.253199999999999648e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.100000000000000000e+01,5.500000000000000000e+01,5.743483908816627803e+01,-3.867211933934506618e+01,3.623728025117878815e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.250000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.200000000000000000e+01,5.500000000000000000e+01,5.753986279392748315e+01,-3.721704411057596218e+01,3.467718131664847903e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.246800000000000352e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.300000000000000000e+01,5.500000000000000000e+01,5.806826331353862258e+01,-3.670602482799637301e+01,3.363776151445775042e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.230700000000000216e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.400000000000000000e+01,5.500000000000000000e+01,5.753986279392748315e+01,-3.406608328511735095e+01,3.152622049118986780e+01,0.000000000000000000e+00,5.000000000000000000e+01,3.246800000000000352e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
