tm,DVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,1.625000000000120706e-03
3.000000000000000000e+00,1.000000000000000000e+00,9.675000000000011716e-03
4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.625000000000120706e-03
6.000000000000000000e+00,1.000000000000000000e+00,3.225000000000122300e-03
7.000000000000000000e+00,1.000000000000000000e+00,9.675000000000011716e-03
8.000000000000000000e+00,1.000000000000000000e+00,8.075000000000009254e-03
9.000000000000000000e+00,1.000000000000000000e+00,4.850000000000065196e-03
1.000000000000000000e+01,1.000000000000000000e+00,2.425000000000032598e-03
1.100000000000000000e+01,1.000000000000000000e+00,6.450000000000066791e-03
1.200000000000000000e+01,1.000000000000000000e+00,1.130000000000013285e-02
1.300000000000000000e+01,1.000000000000000000e+00,6.450000000000066791e-03
1.400000000000000000e+01,1.000000000000000000e+00,6.450000000000066791e-03
1.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+00,9.675000000000011716e-03
1.700000000000000000e+01,1.000000000000000000e+00,9.675000000000011716e-03
1.800000000000000000e+01,1.000000000000000000e+00,7.275000000000098228e-03
1.900000000000000000e+01,1.000000000000000000e+00,4.850000000000065196e-03
2.000000000000000000e+01,1.000000000000000000e+00,8.875000000000099823e-03
2.100000000000000000e+01,1.000000000000000000e+00,1.612500000000007677e-02
2.200000000000000000e+01,1.000000000000000000e+00,1.612500000000007677e-02
2.300000000000000000e+01,1.000000000000000000e+00,1.612500000000007677e-02
2.400000000000000000e+01,1.000000000000000000e+00,1.047500000000010055e-02
2.500000000000000000e+01,1.000000000000000000e+00,1.130000000000013285e-02
2.600000000000000000e+01,1.000000000000000000e+00,1.532500000000016661e-02
2.700000000000000000e+01,1.000000000000000000e+00,1.935000000000002343e-02
2.800000000000000000e+01,1.000000000000000000e+00,1.772500000000008097e-02
2.900000000000000000e+01,1.000000000000000000e+00,1.772500000000008097e-02
3.000000000000000000e+01,1.000000000000000000e+00,1.290000000000013358e-02
3.100000000000000000e+01,1.000000000000000000e+00,1.612500000000007677e-02
3.200000000000000000e+01,1.000000000000000000e+00,1.772500000000008097e-02
3.300000000000000000e+01,1.000000000000000000e+00,2.257500000000014356e-02
3.400000000000000000e+01,1.000000000000000000e+00,1.370000000000004547e-02
3.500000000000000000e+01,1.000000000000000000e+00,1.532500000000016661e-02
3.600000000000000000e+01,1.000000000000000000e+00,2.015000000000011227e-02
3.700000000000000000e+01,1.000000000000000000e+00,2.337500000000005546e-02
3.800000000000000000e+01,1.000000000000000000e+00,2.660000000000000211e-02
3.900000000000000000e+01,1.000000000000000000e+00,1.855000000000011154e-02
4.000000000000000000e+01,1.000000000000000000e+00,2.177500000000005473e-02
4.100000000000000000e+01,1.000000000000000000e+00,2.177500000000005473e-02
4.200000000000000000e+01,1.000000000000000000e+00,2.902500000000003341e-02
4.300000000000000000e+01,1.000000000000000000e+00,2.740000000000009095e-02
4.400000000000000000e+01,1.000000000000000000e+00,3.225000000000015354e-02
4.500000000000000000e+01,1.000000000000000000e+00,2.820000000000000284e-02
4.600000000000000000e+01,1.000000000000000000e+00,3.385000000000015774e-02
4.700000000000000000e+01,1.000000000000000000e+00,3.545000000000016194e-02
4.800000000000000000e+01,1.000000000000000000e+00,3.707500000000010093e-02
4.900000000000000000e+01,1.000000000000000000e+00,3.385000000000015774e-02
5.000000000000000000e+01,1.000000000000000000e+00,3.385000000000015774e-02
5.100000000000000000e+01,1.000000000000000000e+00,3.385000000000015774e-02
5.200000000000000000e+01,1.000000000000000000e+00,4.352499999999999425e-02
5.300000000000000000e+01,1.000000000000000000e+00,4.675000000000011091e-02
5.400000000000000000e+01,1.000000000000000000e+00,4.110000000000013642e-02
5.500000000000000000e+01,1.000000000000000000e+00,4.190000000000004832e-02
5.600000000000000000e+01,1.000000000000000000e+00,4.512499999999999151e-02
5.700000000000000000e+01,1.000000000000000000e+00,4.997500000000006104e-02
5.800000000000000000e+01,1.000000000000000000e+00,5.400000000000008959e-02
5.900000000000000000e+01,1.000000000000000000e+00,5.480000000000000149e-02
6.000000000000000000e+01,1.000000000000000000e+00,5.157500000000005830e-02
6.100000000000000000e+01,1.000000000000000000e+00,4.997500000000006104e-02
6.200000000000000000e+01,1.000000000000000000e+00,5.077500000000014641e-02
6.300000000000000000e+01,1.000000000000000000e+00,5.802500000000012509e-02
6.400000000000000000e+01,1.000000000000000000e+00,6.125000000000006828e-02
6.500000000000000000e+01,1.000000000000000000e+00,6.125000000000006828e-02
6.600000000000000000e+01,1.000000000000000000e+00,5.640000000000000568e-02
6.700000000000000000e+01,1.000000000000000000e+00,5.962500000000012929e-02
6.800000000000000000e+01,1.000000000000000000e+00,6.205000000000016058e-02
6.900000000000000000e+01,1.000000000000000000e+00,6.607500000000002260e-02
7.000000000000000000e+01,1.000000000000000000e+00,7.090000000000014346e-02
7.100000000000000000e+01,1.000000000000000000e+00,7.332500000000000129e-02
7.200000000000000000e+01,1.000000000000000000e+00,7.172499999999999709e-02
7.300000000000000000e+01,1.000000000000000000e+00,6.770000000000013507e-02
7.400000000000000000e+01,1.000000000000000000e+00,7.010000000000005116e-02
7.500000000000000000e+01,1.000000000000000000e+00,7.575000000000002565e-02
7.600000000000000000e+01,1.000000000000000000e+00,7.897500000000015619e-02
7.700000000000000000e+01,1.000000000000000000e+00,7.252500000000008940e-02
7.800000000000000000e+01,1.000000000000000000e+00,7.172499999999999709e-02
7.900000000000000000e+01,1.000000000000000000e+00,7.575000000000002565e-02
8.000000000000000000e+01,1.000000000000000000e+00,8.057500000000014651e-02
8.100000000000000000e+01,1.000000000000000000e+00,8.862500000000003708e-02
8.200000000000000000e+01,1.000000000000000000e+00,8.702500000000004676e-02
8.300000000000000000e+01,1.000000000000000000e+00,7.897500000000015619e-02
8.400000000000000000e+01,1.000000000000000000e+00,7.897500000000015619e-02
8.500000000000000000e+01,1.000000000000000000e+00,8.137500000000005840e-02
8.600000000000000000e+01,1.000000000000000000e+00,8.782500000000012519e-02
8.700000000000000000e+01,1.000000000000000000e+00,9.507500000000010387e-02
8.800000000000000000e+01,1.000000000000000000e+00,8.782500000000012519e-02
8.900000000000000000e+01,1.000000000000000000e+00,8.702500000000004676e-02
9.000000000000000000e+01,1.000000000000000000e+00,8.540000000000010083e-02
9.100000000000000000e+01,1.000000000000000000e+00,9.185000000000016762e-02
9.200000000000000000e+01,1.000000000000000000e+00,9.347500000000011355e-02
9.300000000000000000e+01,1.000000000000000000e+00,9.670000000000004980e-02
9.400000000000000000e+01,1.000000000000000000e+00,8.945000000000007112e-02
9.500000000000000000e+01,1.000000000000000000e+00,9.587500000000001577e-02
9.600000000000000000e+01,1.000000000000000000e+00,1.031249999999999944e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.031249999999999944e-01
9.800000000000000000e+01,1.000000000000000000e+00,9.750000000000014211e-02
9.900000000000000000e+01,1.000000000000000000e+00,9.587500000000001577e-02
1.000000000000000000e+02,1.000000000000000000e+00,1.071750000000001590e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.047500000000001208e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.112000000000000072e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.071750000000001590e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.039500000000000285e-01
