tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,8.250000000000312205e-04
2.000000000000000000e+00,1.000000000000000000e+00,-7.999999999999118927e-04
3.000000000000000000e+00,1.000000000000000000e+00,2.425000000000032598e-03
4.000000000000000000e+00,1.000000000000000000e+00,4.050000000000153304e-03
5.000000000000000000e+00,1.000000000000000000e+00,4.850000000000065196e-03
6.000000000000000000e+00,1.000000000000000000e+00,5.650000000000154898e-03
7.000000000000000000e+00,1.000000000000000000e+00,6.450000000000066791e-03
8.000000000000000000e+00,1.000000000000000000e+00,5.650000000000154898e-03
9.000000000000000000e+00,1.000000000000000000e+00,7.275000000000098228e-03
1.000000000000000000e+01,1.000000000000000000e+00,6.450000000000066791e-03
1.100000000000000000e+01,1.000000000000000000e+00,6.450000000000066791e-03
1.200000000000000000e+01,1.000000000000000000e+00,6.450000000000066791e-03
1.300000000000000000e+01,1.000000000000000000e+00,6.450000000000066791e-03
1.400000000000000000e+01,1.000000000000000000e+00,5.650000000000154898e-03
1.500000000000000000e+01,1.000000000000000000e+00,6.450000000000066791e-03
1.600000000000000000e+01,1.000000000000000000e+00,6.450000000000066791e-03
1.700000000000000000e+01,1.000000000000000000e+00,7.275000000000098228e-03
1.800000000000000000e+01,1.000000000000000000e+00,6.450000000000066791e-03
1.900000000000000000e+01,1.000000000000000000e+00,6.450000000000066791e-03
2.000000000000000000e+01,1.000000000000000000e+00,6.450000000000066791e-03
2.100000000000000000e+01,1.000000000000000000e+00,6.450000000000066791e-03
2.200000000000000000e+01,1.000000000000000000e+00,6.450000000000066791e-03
2.300000000000000000e+01,1.000000000000000000e+00,8.075000000000009254e-03
2.400000000000000000e+01,1.000000000000000000e+00,1.130000000000013285e-02
2.500000000000000000e+01,1.000000000000000000e+00,1.130000000000013285e-02
2.600000000000000000e+01,1.000000000000000000e+00,1.290000000000013358e-02
2.700000000000000000e+01,1.000000000000000000e+00,1.290000000000013358e-02
2.800000000000000000e+01,1.000000000000000000e+00,1.370000000000004547e-02
2.900000000000000000e+01,1.000000000000000000e+00,1.452500000000007604e-02
3.000000000000000000e+01,1.000000000000000000e+00,1.452500000000007604e-02
3.100000000000000000e+01,1.000000000000000000e+00,1.452500000000007604e-02
3.200000000000000000e+01,1.000000000000000000e+00,1.452500000000007604e-02
3.300000000000000000e+01,1.000000000000000000e+00,1.452500000000007604e-02
3.400000000000000000e+01,1.000000000000000000e+00,1.452500000000007604e-02
3.500000000000000000e+01,1.000000000000000000e+00,1.452500000000007604e-02
3.600000000000000000e+01,1.000000000000000000e+00,1.612500000000007677e-02
3.700000000000000000e+01,1.000000000000000000e+00,1.452500000000007604e-02
3.800000000000000000e+01,1.000000000000000000e+00,1.452500000000007604e-02
3.900000000000000000e+01,1.000000000000000000e+00,1.452500000000007604e-02
4.000000000000000000e+01,1.000000000000000000e+00,1.452500000000007604e-02
4.100000000000000000e+01,1.000000000000000000e+00,1.452500000000007604e-02
4.200000000000000000e+01,1.000000000000000000e+00,1.452500000000007604e-02
4.300000000000000000e+01,1.000000000000000000e+00,1.452500000000007604e-02
4.400000000000000000e+01,1.000000000000000000e+00,1.612500000000007677e-02
4.500000000000000000e+01,1.000000000000000000e+00,2.095000000000002416e-02
4.600000000000000000e+01,1.000000000000000000e+00,2.257500000000014356e-02
4.700000000000000000e+01,1.000000000000000000e+00,2.257500000000014356e-02
4.800000000000000000e+01,1.000000000000000000e+00,2.257500000000014356e-02
4.900000000000000000e+01,1.000000000000000000e+00,2.257500000000014356e-02
5.000000000000000000e+01,1.000000000000000000e+00,2.257500000000014356e-02
5.100000000000000000e+01,1.000000000000000000e+00,2.660000000000000211e-02
