t,MV,PV,DV
8.200000000000000000e+01,5.000000000000000000e+01,5.167499999999999716e+01,3.000000000000000000e+01
8.300000000000000000e+01,5.000000000000000000e+01,5.167499999999999716e+01,3.000000000000000000e+01
8.400000000000000000e+01,5.000000000000000000e+01,5.164300000000000068e+01,3.000000000000000000e+01
8.500000000000000000e+01,5.000000000000000000e+01,5.186800000000000210e+01,3.000000000000000000e+01
8.600000000000000000e+01,5.000000000000000000e+01,5.186800000000000210e+01,3.000000000000000000e+01
8.700000000000000000e+01,5.000000000000000000e+01,5.180400000000000205e+01,3.000000000000000000e+01
8.800000000000000000e+01,5.000000000000000000e+01,5.164300000000000068e+01,3.000000000000000000e+01
8.900000000000000000e+01,5.000000000000000000e+01,5.164300000000000068e+01,3.000000000000000000e+01
9.000000000000000000e+01,5.000000000000000000e+01,5.189999999999999858e+01,3.000000000000000000e+01
9.100000000000000000e+01,5.000000000000000000e+01,5.196500000000000341e+01,3.000000000000000000e+01
9.200000000000000000e+01,5.000000000000000000e+01,5.196500000000000341e+01,3.000000000000000000e+01
9.300000000000000000e+01,5.000000000000000000e+01,5.186800000000000210e+01,3.000000000000000000e+01
9.400000000000000000e+01,5.000000000000000000e+01,5.164300000000000068e+01,3.000000000000000000e+01
9.500000000000000000e+01,5.000000000000000000e+01,5.189999999999999858e+01,3.000000000000000000e+01
9.600000000000000000e+01,5.000000000000000000e+01,5.202900000000000347e+01,3.000000000000000000e+01
9.700000000000000000e+01,5.000000000000000000e+01,5.209400000000000119e+01,3.000000000000000000e+01
9.800000000000000000e+01,5.000000000000000000e+01,5.189999999999999858e+01,3.000000000000000000e+01
9.900000000000000000e+01,5.000000000000000000e+01,5.189999999999999858e+01,3.000000000000000000e+01
1.000000000000000000e+02,5.000000000000000000e+01,5.183599999999999852e+01,3.000000000000000000e+01
1.010000000000000000e+02,5.000000000000000000e+01,5.215800000000000125e+01,3.000000000000000000e+01
1.020000000000000000e+02,5.000000000000000000e+01,5.222299999999999898e+01,3.000000000000000000e+01
1.030000000000000000e+02,5.000000000000000000e+01,5.244800000000000040e+01,3.000000000000000000e+01
1.040000000000000000e+02,5.000000000000000000e+01,5.212599999999999767e+01,3.000000000000000000e+01
1.050000000000000000e+02,5.000000000000000000e+01,5.215800000000000125e+01,3.000000000000000000e+01
1.060000000000000000e+02,5.000000000000000000e+01,5.222299999999999898e+01,3.000000000000000000e+01
1.070000000000000000e+02,5.000000000000000000e+01,5.247999999999999687e+01,3.000000000000000000e+01
1.080000000000000000e+02,5.000000000000000000e+01,5.235199999999999676e+01,3.000000000000000000e+01
1.090000000000000000e+02,5.000000000000000000e+01,5.235199999999999676e+01,3.000000000000000000e+01
1.100000000000000000e+02,5.000000000000000000e+01,5.209400000000000119e+01,3.000000000000000000e+01
1.110000000000000000e+02,5.000000000000000000e+01,5.212599999999999767e+01,3.000000000000000000e+01
1.120000000000000000e+02,5.000000000000000000e+01,5.222299999999999898e+01,3.000000000000000000e+01
1.130000000000000000e+02,5.000000000000000000e+01,5.235199999999999676e+01,3.000000000000000000e+01
1.140000000000000000e+02,5.000000000000000000e+01,5.235199999999999676e+01,3.000000000000000000e+01
1.150000000000000000e+02,5.000000000000000000e+01,5.228699999999999903e+01,3.000000000000000000e+01
1.160000000000000000e+02,5.000000000000000000e+01,5.209400000000000119e+01,3.000000000000000000e+01
1.170000000000000000e+02,5.000000000000000000e+01,5.215800000000000125e+01,3.000000000000000000e+01
1.180000000000000000e+02,5.000000000000000000e+01,5.235199999999999676e+01,3.000000000000000000e+01
1.190000000000000000e+02,5.000000000000000000e+01,5.241599999999999682e+01,3.000000000000000000e+01
1.200000000000000000e+02,5.000000000000000000e+01,5.244800000000000040e+01,3.000000000000000000e+01
1.210000000000000000e+02,5.000000000000000000e+01,5.225500000000000256e+01,3.000000000000000000e+01
1.220000000000000000e+02,5.000000000000000000e+01,5.202900000000000347e+01,3.000000000000000000e+01
1.230000000000000000e+02,5.000000000000000000e+01,5.215800000000000125e+01,3.000000000000000000e+01
1.240000000000000000e+02,5.000000000000000000e+01,5.235199999999999676e+01,3.000000000000000000e+01
1.250000000000000000e+02,5.000000000000000000e+01,5.241599999999999682e+01,3.000000000000000000e+01
1.260000000000000000e+02,5.000000000000000000e+01,5.235199999999999676e+01,3.000000000000000000e+01
1.270000000000000000e+02,5.000000000000000000e+01,5.215800000000000125e+01,3.000000000000000000e+01
1.280000000000000000e+02,5.000000000000000000e+01,5.218999999999999773e+01,3.000000000000000000e+01
1.290000000000000000e+02,5.000000000000000000e+01,5.235199999999999676e+01,3.000000000000000000e+01
1.300000000000000000e+02,5.000000000000000000e+01,5.251299999999999812e+01,3.000000000000000000e+01
1.310000000000000000e+02,5.000000000000000000e+01,5.241599999999999682e+01,3.000000000000000000e+01
1.320000000000000000e+02,5.000000000000000000e+01,5.251299999999999812e+01,3.000000000000000000e+01
1.330000000000000000e+02,5.000000000000000000e+01,5.228699999999999903e+01,3.000000000000000000e+01
1.340000000000000000e+02,5.000000000000000000e+01,5.215800000000000125e+01,3.000000000000000000e+01
1.350000000000000000e+02,5.000000000000000000e+01,5.218999999999999773e+01,3.000000000000000000e+01
1.360000000000000000e+02,5.000000000000000000e+01,5.235199999999999676e+01,3.000000000000000000e+01
1.370000000000000000e+02,5.000000000000000000e+01,5.235199999999999676e+01,3.000000000000000000e+01
1.380000000000000000e+02,5.000000000000000000e+01,5.241599999999999682e+01,3.000000000000000000e+01
1.390000000000000000e+02,5.000000000000000000e+01,5.215800000000000125e+01,3.000000000000000000e+01
1.400000000000000000e+02,5.000000000000000000e+01,5.215800000000000125e+01,3.000000000000000000e+01
1.410000000000000000e+02,5.000000000000000000e+01,5.209400000000000119e+01,3.000000000000000000e+01
1.420000000000000000e+02,5.000000000000000000e+01,5.241599999999999682e+01,3.000000000000000000e+01
1.430000000000000000e+02,5.000000000000000000e+01,5.228699999999999903e+01,3.000000000000000000e+01
1.440000000000000000e+02,5.000000000000000000e+01,5.235199999999999676e+01,3.000000000000000000e+01
1.450000000000000000e+02,5.000000000000000000e+01,5.222299999999999898e+01,3.000000000000000000e+01
1.460000000000000000e+02,5.000000000000000000e+01,5.209400000000000119e+01,3.000000000000000000e+01
1.470000000000000000e+02,5.000000000000000000e+01,5.225500000000000256e+01,3.000000000000000000e+01
1.480000000000000000e+02,5.000000000000000000e+01,5.241599999999999682e+01,3.000000000000000000e+01
1.490000000000000000e+02,5.000000000000000000e+01,5.225500000000000256e+01,3.000000000000000000e+01
1.500000000000000000e+02,5.000000000000000000e+01,5.222299999999999898e+01,3.000000000000000000e+01
1.510000000000000000e+02,5.000000000000000000e+01,5.199699999999999989e+01,3.000000000000000000e+01
1.520000000000000000e+02,5.000000000000000000e+01,5.235199999999999676e+01,3.000000000000000000e+01
1.530000000000000000e+02,5.000000000000000000e+01,5.235199999999999676e+01,3.000000000000000000e+01
1.540000000000000000e+02,5.000000000000000000e+01,5.247999999999999687e+01,3.000000000000000000e+01
1.550000000000000000e+02,5.000000000000000000e+01,5.215800000000000125e+01,3.000000000000000000e+01
1.560000000000000000e+02,5.000000000000000000e+01,5.222299999999999898e+01,3.000000000000000000e+01
1.570000000000000000e+02,5.000000000000000000e+01,5.215800000000000125e+01,3.000000000000000000e+01
1.580000000000000000e+02,5.000000000000000000e+01,5.222299999999999898e+01,3.000000000000000000e+01
1.590000000000000000e+02,5.000000000000000000e+01,5.238400000000000034e+01,3.000000000000000000e+01
1.600000000000000000e+02,5.000000000000000000e+01,5.228699999999999903e+01,3.000000000000000000e+01
1.610000000000000000e+02,5.000000000000000000e+01,5.244800000000000040e+01,3.000000000000000000e+01
1.620000000000000000e+02,5.000000000000000000e+01,5.209400000000000119e+01,3.000000000000000000e+01
1.630000000000000000e+02,5.000000000000000000e+01,5.209400000000000119e+01,3.000000000000000000e+01
1.640000000000000000e+02,5.000000000000000000e+01,5.241599999999999682e+01,3.000000000000000000e+01
1.650000000000000000e+02,5.000000000000000000e+01,5.241599999999999682e+01,3.000000000000000000e+01
1.660000000000000000e+02,5.000000000000000000e+01,5.241599999999999682e+01,3.000000000000000000e+01
1.670000000000000000e+02,5.000000000000000000e+01,5.247999999999999687e+01,3.000000000000000000e+01
1.680000000000000000e+02,5.000000000000000000e+01,5.215800000000000125e+01,3.000000000000000000e+01
1.690000000000000000e+02,5.000000000000000000e+01,5.222299999999999898e+01,3.000000000000000000e+01
1.700000000000000000e+02,5.000000000000000000e+01,5.209400000000000119e+01,3.000000000000000000e+01
1.710000000000000000e+02,5.000000000000000000e+01,5.254500000000000171e+01,3.000000000000000000e+01
1.720000000000000000e+02,5.000000000000000000e+01,5.247999999999999687e+01,3.000000000000000000e+01
1.730000000000000000e+02,5.000000000000000000e+01,5.241599999999999682e+01,3.000000000000000000e+01
1.740000000000000000e+02,5.000000000000000000e+01,5.235199999999999676e+01,3.000000000000000000e+01
1.750000000000000000e+02,5.000000000000000000e+01,5.209400000000000119e+01,3.000000000000000000e+01
1.760000000000000000e+02,5.000000000000000000e+01,5.235199999999999676e+01,3.000000000000000000e+01
1.770000000000000000e+02,5.000000000000000000e+01,5.270600000000000307e+01,3.000000000000000000e+01
1.780000000000000000e+02,5.000000000000000000e+01,5.260900000000000176e+01,3.000000000000000000e+01
1.790000000000000000e+02,5.000000000000000000e+01,5.257699999999999818e+01,3.000000000000000000e+01
1.800000000000000000e+02,5.000000000000000000e+01,5.206199999999999761e+01,3.000000000000000000e+01
1.810000000000000000e+02,5.000000000000000000e+01,5.244800000000000040e+01,3.000000000000000000e+01
1.820000000000000000e+02,5.000000000000000000e+01,5.241599999999999682e+01,3.000000000000000000e+01
1.830000000000000000e+02,5.000000000000000000e+01,5.251299999999999812e+01,3.000000000000000000e+01
1.840000000000000000e+02,5.000000000000000000e+01,5.231900000000000261e+01,3.000000000000000000e+01
1.850000000000000000e+02,5.000000000000000000e+01,5.202900000000000347e+01,3.000000000000000000e+01
1.860000000000000000e+02,5.000000000000000000e+01,5.212599999999999767e+01,3.000000000000000000e+01
1.870000000000000000e+02,5.000000000000000000e+01,5.241599999999999682e+01,3.000000000000000000e+01
1.880000000000000000e+02,5.000000000000000000e+01,5.238400000000000034e+01,3.000000000000000000e+01
1.890000000000000000e+02,5.000000000000000000e+01,5.231900000000000261e+01,3.000000000000000000e+01
1.900000000000000000e+02,5.000000000000000000e+01,5.222299999999999898e+01,3.000000000000000000e+01
1.910000000000000000e+02,5.000000000000000000e+01,5.215800000000000125e+01,3.000000000000000000e+01
1.920000000000000000e+02,5.000000000000000000e+01,5.235199999999999676e+01,3.000000000000000000e+01
1.930000000000000000e+02,5.000000000000000000e+01,5.241599999999999682e+01,3.000000000000000000e+01
1.940000000000000000e+02,5.000000000000000000e+01,5.260900000000000176e+01,3.000000000000000000e+01
1.950000000000000000e+02,5.000000000000000000e+01,5.225500000000000256e+01,3.000000000000000000e+01
1.960000000000000000e+02,5.000000000000000000e+01,5.254500000000000171e+01,3.000000000000000000e+01
1.970000000000000000e+02,5.000000000000000000e+01,5.254500000000000171e+01,3.000000000000000000e+01
1.980000000000000000e+02,5.000000000000000000e+01,5.283500000000000085e+01,3.000000000000000000e+01
1.990000000000000000e+02,5.000000000000000000e+01,5.247999999999999687e+01,3.000000000000000000e+01
2.000000000000000000e+02,5.000000000000000000e+01,5.235199999999999676e+01,3.000000000000000000e+01
2.010000000000000000e+02,5.000000000000000000e+01,5.241599999999999682e+01,3.000000000000000000e+01
2.020000000000000000e+02,5.000000000000000000e+01,5.238400000000000034e+01,3.000000000000000000e+01
2.030000000000000000e+02,5.000000000000000000e+01,5.251299999999999812e+01,3.000000000000000000e+01
2.040000000000000000e+02,5.000000000000000000e+01,5.222299999999999898e+01,3.000000000000000000e+01
2.050000000000000000e+02,5.000000000000000000e+01,5.225500000000000256e+01,3.000000000000000000e+01
2.060000000000000000e+02,5.000000000000000000e+01,5.257699999999999818e+01,3.000000000000000000e+01
2.070000000000000000e+02,5.000000000000000000e+01,5.254500000000000171e+01,3.000000000000000000e+01
2.080000000000000000e+02,5.000000000000000000e+01,5.247999999999999687e+01,3.000000000000000000e+01
2.090000000000000000e+02,5.000000000000000000e+01,5.247999999999999687e+01,7.000000000000000000e+01
2.100000000000000000e+02,5.000000000000000000e+01,5.254500000000000171e+01,7.000000000000000000e+01
2.110000000000000000e+02,5.000000000000000000e+01,5.286699999999999733e+01,7.000000000000000000e+01
2.120000000000000000e+02,5.000000000000000000e+01,5.247999999999999687e+01,7.000000000000000000e+01
2.130000000000000000e+02,5.000000000000000000e+01,5.254500000000000171e+01,7.000000000000000000e+01
2.140000000000000000e+02,5.000000000000000000e+01,5.260900000000000176e+01,7.000000000000000000e+01
2.150000000000000000e+02,5.000000000000000000e+01,5.286699999999999733e+01,7.000000000000000000e+01
2.160000000000000000e+02,5.000000000000000000e+01,5.280299999999999727e+01,7.000000000000000000e+01
2.170000000000000000e+02,5.000000000000000000e+01,5.267399999999999949e+01,7.000000000000000000e+01
2.180000000000000000e+02,5.000000000000000000e+01,5.257699999999999818e+01,7.000000000000000000e+01
2.190000000000000000e+02,5.000000000000000000e+01,5.273799999999999955e+01,7.000000000000000000e+01
2.200000000000000000e+02,5.000000000000000000e+01,5.293200000000000216e+01,7.000000000000000000e+01
2.210000000000000000e+02,5.000000000000000000e+01,5.273799999999999955e+01,7.000000000000000000e+01
2.220000000000000000e+02,5.000000000000000000e+01,5.273799999999999955e+01,7.000000000000000000e+01
2.230000000000000000e+02,5.000000000000000000e+01,5.247999999999999687e+01,7.000000000000000000e+01
2.240000000000000000e+02,5.000000000000000000e+01,5.286699999999999733e+01,7.000000000000000000e+01
2.250000000000000000e+02,5.000000000000000000e+01,5.286699999999999733e+01,7.000000000000000000e+01
2.260000000000000000e+02,5.000000000000000000e+01,5.277100000000000080e+01,7.000000000000000000e+01
2.270000000000000000e+02,5.000000000000000000e+01,5.267399999999999949e+01,7.000000000000000000e+01
2.280000000000000000e+02,5.000000000000000000e+01,5.283500000000000085e+01,7.000000000000000000e+01
2.290000000000000000e+02,5.000000000000000000e+01,5.312500000000000000e+01,7.000000000000000000e+01
2.300000000000000000e+02,5.000000000000000000e+01,5.312500000000000000e+01,7.000000000000000000e+01
2.310000000000000000e+02,5.000000000000000000e+01,5.312500000000000000e+01,7.000000000000000000e+01
2.320000000000000000e+02,5.000000000000000000e+01,5.289900000000000091e+01,7.000000000000000000e+01
2.330000000000000000e+02,5.000000000000000000e+01,5.293200000000000216e+01,7.000000000000000000e+01
2.340000000000000000e+02,5.000000000000000000e+01,5.309300000000000352e+01,7.000000000000000000e+01
2.350000000000000000e+02,5.000000000000000000e+01,5.325399999999999778e+01,7.000000000000000000e+01
2.360000000000000000e+02,5.000000000000000000e+01,5.318900000000000006e+01,7.000000000000000000e+01
2.370000000000000000e+02,5.000000000000000000e+01,5.318900000000000006e+01,7.000000000000000000e+01
2.380000000000000000e+02,5.000000000000000000e+01,5.299600000000000222e+01,7.000000000000000000e+01
2.390000000000000000e+02,5.000000000000000000e+01,5.312500000000000000e+01,7.000000000000000000e+01
2.400000000000000000e+02,5.000000000000000000e+01,5.318900000000000006e+01,7.000000000000000000e+01
2.410000000000000000e+02,5.000000000000000000e+01,5.338300000000000267e+01,7.000000000000000000e+01
2.420000000000000000e+02,5.000000000000000000e+01,5.302799999999999869e+01,7.000000000000000000e+01
2.430000000000000000e+02,5.000000000000000000e+01,5.309300000000000352e+01,7.000000000000000000e+01
2.440000000000000000e+02,5.000000000000000000e+01,5.328600000000000136e+01,7.000000000000000000e+01
2.450000000000000000e+02,5.000000000000000000e+01,5.341499999999999915e+01,7.000000000000000000e+01
2.460000000000000000e+02,5.000000000000000000e+01,5.354399999999999693e+01,7.000000000000000000e+01
2.470000000000000000e+02,5.000000000000000000e+01,5.322200000000000131e+01,7.000000000000000000e+01
